brand,bike_name,displacement_cc,price,power_bhp,weight_kg,mileage,top_speed,star_rating
Triumph,Triumph Tiger 900,888,1415000,106.5,249,17,164,5
Ducati,Ducati SuperSport,937,1605700,108.62,210,20,164,4.8
Ducati,Ducati Scrambler Icon,803,1039000,71.87,185,20,164,4.3
Keeway,Keeway K-Light 250V,249,320000,18.4,179,40,125,4.5
BMW,BMW R 1250 GS,1254,2055000,134.1,249,21,139.3333333,5
Vespa,Vespa SXL 125,124.45,135753,9.65,115,63,93,4
Keeway,Keeway K300 N,292.4,229000,27.1,151,31,146,4.6
Aprilia,Aprilia SXR 160,160.03,145414,10.94,129,35,100,3.9
Vespa,Vespa VXL 150,149.5,145335,10.64,115,40,125,4.4
BMW,BMW C 400 GT,350,1125000,33.5,214,29,139,4.2
Aprilia,Aprilia RS 660,659,1774000,98.56,183,20,164,4
Indian,Indian Chief Dark Horse,1890,2020000,81,304,20,171,4.9
Benelli,Benelli TRK 502X,500,650000,46.9,235,31,146,4.8
Honda,Honda Africa Twin,1082,1601500,97.89,239,17,142.3333333,4.8
Vespa,Vespa SXL 150,149.5,149704,10.64,115,40,125,4.2
Triumph,Triumph Street Triple R,765,1043000,118.4,168,20,164,4.8
Harley-Davidson,Harley-Davidson Road Glide Special,1868,4178829,92.5,387,15,171,5
QJ,QJ Motor SRV 300,296,319905,29.88,164,31,146,4.4
Honda,Honda XL750 Transalp,755,1099990,90.5,208,20,164,5
Triumph,Triumph Speed Twin,1200,1189000,98.6,216,17,171,4.8
Vespa,Vespa ZX 125,124.45,117682,9.65,115,63,93,4.4
BMW,BMW F850 GS,853,1295000,93.87,233,20,164,4.9
Aprilia,Aprilia Storm 125,124.45,117107,9.97,118,40,90,4.5
Harley-Davidson,Harley-Davidson Breakout,1923,3099000,101.9,171,17,161,5
Triumph,Triumph Scrambler 900,900,989000,64.1,223,20,164,4.9
BMW,BMW R 1250 GS Adventure,1254,2250000,134.1,268,21,171,4.9
Kawasaki,Kawasaki Z H2,998,2348000,197.26,239,15,164,4.7
Zontes,Zontes GK350,348,337007,38.2,188,31,146,4.7
Triumph,Triumph Tiger Sport 660,660,958000,80,206,22,164,4.7
Aprilia,Aprilia RSV4 1100 Factory,1099,3126000,213.89,202,17,201,4.7
Kawasaki,Kawasaki Ninja H2 SX SE,998,3295000,197.2,268,15,164,4.7
Kawasaki,Kawasaki Z650RS,649,699000,67.31,192,23,164,4.7
Kawasaki,Kawasaki Versys 650,649,777000,65.7,219,20,164,4.7
BMW,BMW M 1000 R,999,3300000,206.5,229,20,164,4.7
Indian,Indian Roadmaster Elite,1890,7182000,120,389,15,182,4.7
Ducati,Ducati Streetfighter V2,955,1850200,150.59,200,20,164,4.7
Triumph,Triumph Tiger 1200,1160,1939000,148,245,18,181,5
Zontes,Zontes 350X,348,299000,38.2,181,31,146,4.5
Keeway,Keeway Sixties 300i,278.2,330000,18.4,146,31,146,5
Kawasaki,Kawasaki Z900RS,948,1680000,109.96,215,20,164,5
Triumph,Triumph Speed Triple 1200 RS,1160,1825000,177.5,198,22,182,5
Vespa,Vespa 946 Dragon,149.5,1427000,161,181,40,125,5
BMW,BMW F 900 GS,895,1375000,103.25,219,20,164,5
Benelli,Benelli Leoncino 500,500,498974,46.8,207,31,146,5
Moto,Moto Morini X-Cape,649,599000,59.17,215,20,164,5
Keeway,Keeway Vieste 300,278.2,325000,18.4,147,31,146,5
Suzuki,Suzuki V-Strom 800DE,776,1030000,83,232,20,164,5
BMW,BMW R 1300 GS,1300,2095000,145,237,17,182,5
Triumph,Triumph Bonneville T100,900,999000,64.1,228,26,160,5
Indian,Indian Chief Bobber Dark Horse,1890,2139925,137,315,20,183,5
BMW,BMW K 1600,1649,2990000,158,344,15,193,5
BMW,BMW R18,1802,3250000,89.84,427,17,182,5
Ducati,Ducati Hypermotard 950,937,1600500,112.6,200,9,164,5
Triumph,Triumph Bonneville Speedmaster,1200,1235000,76.9,263,17,192,5
Harley-Davidson,Harley-Davidson PAN America 1250,1252,2463776,150.19,258,17,190.4666667,5
Aprilia,Aprilia SXR 125,124.45,134025,9.48,129,40,193.6424242,5
BMW,BMW F 900 GS Adventure,895,1475000,103.25,209,20,196.8181818,5
Moto,Moto Morini Seiemmezzo,649,689007,54.24,215,20,199.9939394,5
Triumph,Triumph Bonneville T120,1200,1139000,78.9,236,18,203.169697,5
Triumph,Triumph Tiger 850 Sport,888,1195000,84,192,24,206.3454545,5
Ducati,Ducati Scrambler Nightshift,803,1200000,71.87,191,20,209.5212121,5
Harley-Davidson,Harley-Davidson Street Glide Special,1868,3878908,92.5,375,15,212.6969697,5
Indian,Indian Super Chief Limited,1890,2282155,101.2,335,14,215.8727273,5
BMW,BMW R 12 nine T,1170,2090000,107.5,220,17,219.0484848,5
Triumph,Triumph Scrambler 1200,1200,1213000,89,230,20,222.2242424,5
Ducati,Ducati Multistrada V4,1158,2148000,167.62,240,14,225.4,4
Ducati,Ducati Scrambler 1100,1079,1340000,84.48,206,19,228.5757576,4.9
Harley-Davidson,Harley-Davidson Heritage Classic,1868,2718915,93.87,330,17,231.7515152,5
Ducati,Ducati DesertX,937,1833200,108.6,223,20,234.9272727,3.7
BMW,BMW M 1000 XR,999,4500000,201,223,20,238.1030303,4
